1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0.56,0.59,0.7,0.84,0.83,0.93,0.88,0.94,0.94,0.94,0.88,0.83,0.73,0.63,0.5,0.55,0.5,0.47,0.45,0.46,0.46
0.13,0.12,0.13,0.13,0.17,0.17,0.21,0.22,0.22,0.24,0.22,0.21,0.21,0.22,0.17,0.18,0.19,0.19,0.2,0.19,0.21
0.36,0.4,0.39,0.49,0.58,0.57,0.5,0.48,0.49,0.47,0.48,0.47,0.44,0.46,0.4,0.42,0.41,0.39,0.38,0.39,0.39
0.18,0.19,0.18,0.18,0.19,0.2,0.2,0.21,0.23,0.25,0.29,0.32,0.32,0.41,0.32,0.35,0.41,0.42,0.41,0.38,0.31
0.38,0.34,0.34,0.31,0.33,0.39,0.38,0.42,0.51,0.59,0.62,0.64,0.61,0.56,0.43,0.49,0.48,0.45,0.43,0.41,0.36
0.37,0.4,0.41,0.4,0.38,0.43,0.47,0.51,0.43,0.44,0.44,0.5,0.53,0.64,0.46,0.5,0.56,0.57,0.61,0.61,0.58
