year,ph_gini,br_gini,ru_gini,in_gini,ch_gini,sa_gini,ph_gdp,br_gdp,ru_gdp,in_gdp,ch_gdp,sa_gdp,ph_to,br_to,ru_to,in_to,ch_to,sa_to,ph_fdi,br_fdi,ru_fdi,in_fdi,ch_fdi,sa_fdi,ph_fpi,br_fpi,ru_fpi,in_fpi,ch_fpi,sa_fpi,ph_cap,br_cap,ru_cap,in_cap,ch_cap,sa_cap,ph_etg,br_etg,ru_etg,in_etg,ch_etg,sa_etg,ph_itg,br_itg,ru_itg,in_itg,ch_itg,sa_itg
2005,0.16438356,0.91477273,0.41521739,0.44791667,0.8870334,0.82039574,0.13993335,0.18040913,0.27344816,0.25845356,0.15018825,0.47235846,0.87755102,0.83333333,0.54545455,0.45833333,0.93939394,0.25925926,0.40684411,0.25,0.3825,0.13333333,0.87732342,0.4,0.37256719,0.86116896,0.66752217,0.48475667,0.57765993,0.43678161,0.12358628,0.18849717,0.27205121,0.27758092,0.15332831,0.51151564,0.7409153,0.86953299,0.5650771,0.48611945,0.8941049,0.22292931,0.89742999,0.49401839,0.300941,0.46459681,1,0.3042946
2006,0.29504742,0.86931818,0.54347826,0.51944444,0.89882122,0.82039574,0.22670613,0.2830613,0.38208961,0.32321901,0.19531419,0.51847198,0.7755102,0.75,0.5,0.58333333,1,0.48148148,0.63878327,0.25454545,0.825,0.52698413,0.86245353,0,0.21316033,0.7960572,0.34169389,0.53380042,1,0,0.22617309,0.29382964,0.38084684,0.35238465,0.19968651,0.55233681,0.69513676,0.77301056,0.50233108,0.59013708,1,0.35547808,0.75596015,0.48075168,0.3255041,0.56321199,0.99267438,0.60099518
2007,0.33403583,0.93181818,0.57065217,0.59375,0.92927308,0.68340944,0.34979398,0.42064188,0.53105646,0.46102294,0.27276137,0.61086764,0.57142857,0.75,0.36363636,0.58333333,0.90909091,0.59259259,0.53612167,0.58181818,0.95,0.50793651,0.82156134,0.3426087,0.34661724,0.25711509,0.47736818,0.08937701,0.43745442,0.27674624,0.37240146,0.43428544,0.52945773,0.53278122,0.27960232,0.6429876,0.50906473,0.66615487,0.33135742,0.55492678,0.95129094,0.53587037,0.552179,0.58259218,0.40854928,0.58482104,0.87178619,0.63572179
2008,0.26238145,0.81704545,0.70543478,0.66944444,0.93418468,0.75951294,0.46239159,0.56262049,0.70472832,0.50744009,0.37402483,0.56880143,0.36734694,0.83333333,0.45454545,0.95833333,0.75757576,1,0.08745247,0.53636364,1,1,0.57249071,0.56,0.64040778,0.9132306,0.95041997,1,0.31541266,1,0.50086236,0.57673595,0.7021179,0.50846838,0.38361415,0.58608143,0.30037806,0.68581178,0.38812514,0.87509193,0.76809658,1,0.39636494,1,0.4608502,0.94109797,0.71808044,1
2009,0.17913593,0.79431818,0.46413043,0.74652778,0.9410609,0.75951294,0.43582096,0.54890506,0.49399999,0.53423151,0.42355967,0.59929477,0.10204082,0.41666667,0.18181818,0.58333333,0.36363636,0.33333333,0.26235741,0.28636364,0.6225,0.69206349,0.13754647,0.40869565,0.30305839,0.23087602,0.55599627,0.37833744,0.36685449,0.23607427,0.45186609,0.55410034,0.49276988,0.5925995,0.43283771,0.60741864,0.10184731,0.40318347,0.20780649,0.53875914,0.33836503,0.30056665,0.11698404,0.32423926,0.19987309,0.59646463,0.40242135,0.35693871
2010,0.13804004,0.72727273,0.17934783,0.82638889,1,0.71385084,0.57752992,0.80641899,0.63935992,0.7330299,0.51946351,0.86340889,0.20408163,0.5,0.27272727,0.70833333,0.54545455,0.48148148,0,0.76590909,0.5825,0.37142857,0.66914498,0.13043478,0.03985171,0,0.55156323,0.01628479,0.38707325,0.29059829,0.61019435,0.81220026,0.63668757,0.80050364,0.52963685,0.87445317,0.21216566,0.39903008,0.28122408,0.65968985,0.47465898,0.63417377,0.19367693,0.48540846,0.28530582,0.68130463,0.61133981,0.40479643
2011,0.23919916,0.89090909,0.23043478,0.94791667,0.978389,0.71385084,0.6888431,1,0.88310153,0.84651086,0.66195366,1,0.10204082,0.58333333,0.22727273,0.95833333,0.51515152,0.7037037,0.13688213,0.73636364,0.545,0.48571429,0.56133829,0.13217391,0.15384615,0.35624046,0.71231918,0.66426813,0.4162413,0.35072207,0.72628608,1,0.88717356,0.88206274,0.67351714,1,0.05419334,0.47218991,0.25203154,0.97126954,0.42903892,0.80544696,0.16067831,0.58085167,0.23459338,0.91026509,0.61325605,0.65673574
2012,0.22128556,0.77159091,0.03586957,0.99305556,0.8654224,0.70243531,0.80649088,0.92827001,0.95862983,0.84031731,0.75758606,0.93318996,0.04081633,0.58333333,0.13636364,1,0.42424242,0.74074074,0.2851711,0.65454545,0.4475,0.26666667,0.23420074,0.16347826,0.19555144,0.70914897,0.33539431,0.16000757,0.22969838,0.18007663,0.84564762,0.91534394,0.96099057,0.87014037,0.76790447,0.91109465,0.02746467,0.47820776,0.17587738,0.94389784,0.36452403,0.71009092,0.07474076,0.68211776,0.14974489,1,0.5005499,0.79262133
2013,0.23919916,0.7375,0.16521739,0.99375,0.9518664,0.70243531,0.90507368,0.93187768,1,0.87183032,0.85891883,0.83446209,0,0.66666667,0.09090909,0.95833333,0.36363636,0.88888889,0.31558935,0.49772727,0.6275,0.33333333,0.31226766,0.35130435,0.40037071,0.4807719,0.66250583,0.58473774,0.19582367,0.25405246,0.93854988,0.90813833,1,0.87436976,0.86709099,0.79140057,0.02841207,0.47229223,0.11341648,1,0.31126335,0.81441612,0.00107814,0.84637122,0.10495602,0.87830169,0.43731969,0.93905733
2014,0.21496312,0.69886364,0.01847826,0.99375,0.87819253,0.68340944,0.96287294,0.92390525,0.8888182,0.94244669,0.94362443,0.78122347,0.02040816,0.58333333,0.13636364,0.83333333,0.3030303,0.88888889,0.56273764,0.75681818,0.1425,0.39047619,0.13754647,0.24695652,0.7442076,0.35388033,1,0,0,0.17830828,0.98157264,0.88974944,0.87182209,0.97487622,0.94829312,0.72056594,0.06424013,0.40174303,0.18241376,0.92544734,0.27412202,0.84402336,0,0.74878578,0.11370615,0.78172903,0.3318923,0.95903768
2015,0,0.80227273,0,1,0.88605108,0.68340944,1,0.61316734,0.55771348,1,1,0.67113027,0.02040816,0.75,0.13636364,0.54166667,0.15151515,0.77777778,0.52851711,0.8,0,0.51428571,0,0.04347826,1,0.62001944,0.84227718,0.53493657,0.98707325,0.27556734,1,0.57312286,0.54399054,1,1,0.59597533,0,0.56495555,0.2269586,0.53005947,0.17265304,0.7420074,0.05224675,0.79460616,0,0.52215192,0.10142341,0.84657399
